video_num,start_frame,end_frame,difficulty,final_score
18,7192,7380,3.1,79.05
18,8754,8868,3,72
18,9456,9558,3,72
18,10200,10300,3,70.5
18,10556,10744,3,70.5
18,11614,11724,3,72
18,13026,13126,3,72
18,13688,13830,3,72
18,14584,14678,3.4,78.2
18,16042,16124,3,76.5
18,16546,16690,3,76.5
18,17304,17492,3.1,83.7
18,18628,18774,3.4,86.7
18,19344,19456,3.4,86.7
18,20116,20198,3,81
18,20598,20798,3,81
18,21458,21546,3.4,85
18,22996,23082,3,72
18,25506,25648,3.4,78.2
18,26204,26310,3.4,78.2
18,26878,27014,3.1,68.2
18,27432,27562,3.1,68.2
18,27990,28118,3.4,86.7
18,29386,29524,3,58.5
18,30004,30154,3,58.5
18,30634,30788,3.3,80.85
18,31016,31206,3.3,80.85
18,31988,32138,3.8,68.4
18,33200,33352,3.1,75.95
18,33814,33980,3.1,75.95
18,34632,34766,3.3,84.15
18,35194,35312,3.3,84.15
18,36090,36184,3.4,85
18,36612,36730,3.4,85
18,37242,37378,3.4,86.7
18,37602,37786,3.4,86.7
18,38616,38700,3.5,91
18,39160,39310,3.5,91
18,40018,40166,3.4,81.6
18,42590,42736,3,49.5
18,43122,43278,3,49.5
18,43910,44056,3.8,91.2
18,44528,44706,3.8,91.2
18,45006,45152,3.8,55.1
18,46534,46664,3.3,74.25
18,47144,47286,3.3,74.25
18,47658,47800,3,81
18,48896,49054,3.3,79.2
18,50056,50198,3.9,87.75
18,51694,51780,3,76.5
18,52918,53050,3.8,95
18,53560,53692,3.8,95
18,54188,54320,3.5,96.25
18,54956,55112,3.5,96.25
18,55520,55656,3.5,89.25
18,57050,57182,3.5,89.25
18,59644,59778,3.3,79.2
18,60180,60286,3.3,79.2
18,61194,61278,3.4,86.7
18,62180,62330,3.5,42
18,63734,63868,3.4,78.2
18,64474,64590,3.4,78.2
18,65214,65294,3.4,83.3
18,65774,65968,3.4,83.3
18,66548,66686,3.5,82.25
18,67958,68040,3.4,78.5
18,68480,68610,3.4,78.5
18,69646,69732,3.4,81.6
18,70980,71100,3.5,89.25
18,72430,72516,3.4,91.8
18,73638,73768,3.4,86.7
18,74228,74394,3.4,86.7
18,75272,75362,3.4,85
18,78400,78490,3.4,76.5
18,79800,79936,3.5,89.25
18,80196,80380,3.5,89.25
18,81368,81464,3.4,35.7
18,82890,82984,3.4,56.1
18,83236,83462,3.4,56.1
18,84120,84242,3.8,74.1
18,84668,84820,3.8,74.1
18,85522,85614,3,67.5
18,86632,86784,3.5,94.5
18,87306,87496,3.5,94.5
18,88096,88230,3.5,84
18,88670,88804,3.5,84
18,89638,89728,3,72
18,91000,91142,3.8,96.9
18,91634,91834,3.8,96.9
18,92272,92404,3.9,99.45
18,92890,93040,3.9,99.45
18,93812,93944,3.8,98.8
18,97274,97362,3,75
18,98916,99052,3.4,81.6
18,99528,99674,3.4,81.6
18,100694,100828,3.4,81.6
18,102532,102664,3.8,100.7
18,104758,104894,3.4,22.1
18,105370,105578,3.4,22.1
18,106562,106700,3.4,86.7
18,107156,107292,3.4,86.7
18,108168,108312,3.7,94.35
18,110132,110266,3.4,88.4
18,110720,110886,3.4,88.4
18,112234,112366,3.7,64.75
18,112940,113086,3.7,64.75
18,114056,114192,3.3,89.1
18,116146,116272,3.8,104.5
18,118730,118866,3.9,97.5
18,119358,119570,3.9,97.5
