video_num,start_frame,end_frame,difficulty,final_score
7,9900,9999,1.9,45.6
7,11076,11156,1.6,43.2
7,11328,11495,1.6,43.2
7,12412,12508,1.9,42.75
7,12650,12803,1.9,42.75
7,13571,13673,2,47
7,13828,14004,2,47
7,14822,14909,2,36
7,15060,15263,2,36
7,15817,15916,1.6,34.4
7,17004,17092,1.5,30
7,17984,18082,1.6,33.6
7,18949,19032,1.6,36
7,19992,20088,1.6,33.6
7,20258,20428,1.6,33.6
7,20839,20916,1.6,26.4
7,23519,23606,2,46
7,24672,24756,2,57
7,24922,25058,2,57
7,25759,25840,1.6,32.8
7,26806,26893,1.6,33.6
7,28163,28260,1.6,32.8
7,28449,28604,1.6,32.8
7,29235,29310,2,44
7,30410,30516,1.8,36.9
7,31612,31696,2,40
7,31909,32069,2,40
7,32671,32753,2,44
7,33007,33200,2,44
7,33928,34012,2,45
7,35146,35232,2,45
7,37600,37695,1.8,43.2
7,37899,38066,1.8,43.2
7,38809,38907,1.9,55.1
7,39118,39366,1.9,55.1
7,40195,40275,2,42
7,41428,41509,2.1,40.95
7,43028,43124,1.9,43.7
7,44205,44298,1.9,42.75
7,44513,44680,1.9,42.75
7,45480,45577,1.9,29.45
7,45788,45978,1.9,29.45
7,46588,46675,1.9,41.8
7,46915,47062,1.9,41.8
7,47610,47706,1.9,42.75
7,48749,48848,1.9,38.95
7,49087,49231,1.9,38.95
7,49936,50012,2.1,37.8
7,52802,52889,1.9,39.9
7,54043,54116,2.1,56.7
7,55197,55292,2.1,40.95
7,56306,56405,1.9,48.45
7,57855,57946,2.1,40.95
7,58918,59002,2.1,44.1
7,60180,60269,2.4,40.8
7,60444,60683,2.4,40.8
7,61350,61442,2,41
7,61649,61859,2,41
7,62321,62401,2.1,47.25
7,63563,63661,2,43
7,63872,64050,2,43
7,64699,64804,1.9,28.5
7,65011,65220,1.9,28.5
7,67125,67226,3.2,65.6
7,68656,68731,3.2,76.8
7,69963,70042,3,48
7,70229,70451,3,48
7,71304,71395,3.2,60.8
7,73212,73296,3.2,60.8
7,73528,73688,3.2,60.8
7,74383,74469,3.2,59.2
7,75626,75693,3,54
7,76686,76768,3,60
7,76982,77199,3,60
7,77717,77789,3,52.5
7,78878,78949,3,36
7,79147,79353,3,36
7,80168,80272,3.2,57.6
7,82499,82577,3,55.5
7,83960,84053,3.3,85.8
7,85183,85273,2.8,65.8
7,86398,86468,3.2,52.8
7,88276,88357,3.6,57.6
7,88535,88704,3.6,57.6
7,89357,89456,3.3,64.35
7,90468,90549,3.2,51.2
7,90712,90941,3.2,51.2
7,91643,91722,3.2,68.8
7,92707,92798,3.2,70.4
7,92974,93151,3.2,70.4
7,93987,94053,3.2,65.6
7,95074,95155,3,58.5
7,97839,97912,3.2,76.8
7,99279,99370,3.4,91.8
7,100732,100819,3.2,36.8
7,101934,102019,3.3,69.3
7,102234,102404,3.3,69.3
7,103353,103435,3.4,71.4
7,104801,104893,3.2,60.8
7,106110,106194,3.3,42.9
7,107291,107382,3.3,69.3
7,107570,107751,3.3,69.3
7,108690,108787,3.3,59.4
7,108970,109165,3.3,59.4
7,109957,110044,2.9,30.45
7,111338,111422,3.2,40
7,114292,114400,3.2,57.6
7,116031,116134,3.5,42
7,117402,117479,2.9,34.8
7,117681,117882,2.9,34.8
7,118578,118659,3.4,39.1
7,120484,120590,3.2,62.4
7,120765,120920,3.2,62.4
7,121527,121610,3.4,47.6
7,123031,123122,3.3,29.7
7,124567,124660,3.2,52.8
7,125824,125902,3.3,56.1
7,126076,126271,3.3,56.1
7,126957,127036,3.2,64
7,128307,128389,2.8,44.8
7,131521,131612,3.3,41.25
7,132779,132858,3.2,89.6
7,134050,134140,3.2,62.4
7,134303,134490,3.2,62.4
7,135127,135211,3.2,59.2
7,136924,137016,3.6,84.6
7,137179,137398,3.6,84.6
7,138096,138205,3.2,60.8
7,138395,138591,3.2,60.8
7,139623,139721,3.4,44.2
7,140826,140921,3.2,67.2
7,141964,142040,3.6,75.6
7,143384,143483,3.2,67.2
7,143712,143891,3.2,67.2
7,144939,145031,3.3,46.2
