video_num,start_frame,end_frame,difficulty,final_score
10,10028,10130,2.8,42
10,11910,12018,2.6,55.9
10,13350,13504,2.7,43.2
10,13704,13860,2.7,43.2
10,14914,15068,2.7,48.6
10,15250,15408,2.7,48.6
10,16640,16746,2.8,63
10,18220,18326,3.2,62.4
10,19484,19620,2.3,50.6
10,19792,19924,2.3,50.6
10,21974,22064,2.8,64.4
10,22284,22408,2.8,64.4
10,23620,23718,3.2,67.2
10,25076,25216,3,73.5
10,26558,26694,3,81
10,29350,29504,2.7,40.5
10,30772,30918,3,40.5
10,32702,32806,3.3,39.6
10,33144,33336,3.3,39.6
10,34464,34564,2.4,57.6
10,36262,36362,3.2,43.2
10,38070,38162,3.2,65.6
10,39684,39756,2.8,67.2
10,40074,40210,2.8,67.2
10,42230,42376,3,58.5
10,42694,42846,3,58.5
10,44092,44196,3.2,68.8
10,44546,44744,3.2,68.8
10,45690,45802,2.6,59.8
10,47296,47384,3.2,86.4
10,50436,50544,2.7,44.55
10,50876,51046,2.7,44.55
10,52332,52426,2.9,52.2
10,52734,52920,2.9,52.2
10,53974,54086,2.9,31.9
10,55670,55756,2.8,60.2
10,57664,57780,3.2,65.6
10,59304,59404,3,58.5
10,59734,59932,3,58.5
10,61190,61282,2.7,59.4
10,61636,61804,2.7,59.4
10,64036,64148,2.8,33.6
10,65516,65678,3,60
10,67418,67514,3.2,68.8
10,67842,68008,3.2,68.8
10,69114,69218,3.2,75.2
10,72450,72550,2.6,35.1
10,74364,74458,3.2,48
10,74816,74962,3.2,48
10,75958,76070,2.8,44.8
10,77536,77676,2.9,58
10,79380,79490,3.3,52.8
10,81210,81304,3.2,54.4
10,82788,82876,2.8,57.4
10,83188,83370,2.8,57.4
10,84362,84502,2.9,52.2
10,84884,85076,2.9,52.2
10,86046,86158,3.2,62.4
10,87902,88000,3.2,73.6
10,88400,88580,3.2,73.6
10,89638,89744,3.2,81.6
