video_num,start_frame,end_frame,difficulty,final_score
17,2592,2686,3,63
17,3056,3190,3,63
17,3960,4071,3,67.5
17,4485,4654,3,67.5
17,5662,5771,3,73.5
17,6919,7012,3.4,81.6
17,7177,7342,3.4,81.6
17,8027,8170,3.3,61.05
17,8563,8693,3.3,61.05
17,8708,8845,3.3,61.05
17,9762,9860,3,67.5
17,10276,10416,3,67.5
17,11061,11147,3,67.5
17,11556,11715,3,67.5
17,12154,12244,3,73.5
17,12794,12905,3,73.5
17,13181,13265,3.1,71.3
17,14467,14561,3,72
17,14942,15075,3,72
17,15627,15712,3.4,81.6
17,15922,16103,3.4,81.6
17,16823,16906,3,67.5
17,17293,17448,3,67.5
17,18187,18278,3,72
17,18703,18919,3,72
17,19401,19491,3.3,84.15
17,19918,20054,3.3,84.15
17,21052,21134,3,69
17,21547,21672,3,69
17,22267,22372,3.4,86.7
17,23604,23691,3,70.5
17,24079,24262,3,70.5
17,25116,25215,3.4,76.5
17,25563,25683,3.4,76.5
17,26260,26335,3,72
17,27694,27778,3,67.5
17,28823,28929,3.1,68.2
17,29294,29420,3.1,68.2
17,30274,30350,3,66
17,30734,30905,3,66
17,31629,31715,3,54
17,32143,32307,3,54
17,33016,33092,3,66
17,33470,33609,3,66
17,34246,34340,3,76.5
17,35720,35814,3.1,83.7
17,36258,36417,3.1,83.7
17,36984,37075,3.4,86.7
17,37485,37595,3.4,86.7
17,38138,38219,3,63
17,39354,39452,3,72
17,42255,42348,3.1,72.85
17,43690,43788,3.4,68
17,45218,45333,3.4,88.4
17,46606,46696,3.5,77
17,47081,47192,3.5,77
17,47805,47900,3.4,74.8
17,48830,48934,3.1,0
17,49956,50048,3.1,68.2
17,51010,51108,3.1,74.4
17,51503,51686,3.1,74.4
17,52008,52092,3.4,81.6
17,52483,52615,3.4,81.6
17,53054,53145,3.1,72.85
17,54173,54272,3.8,83.6
17,54651,54797,3.8,83.6
17,55164,55259,3.4,76.5
17,56563,56652,3.1,75.95
17,57774,57885,3.4,42.5
17,58029,58220,3.4,42.5
17,59216,59305,3.1,65.1
17,59744,59873,3.1,65.1
17,60380,60467,3.5,84
17,60868,61018,3.5,84
17,61468,61563,3.3,74.25
17,61987,62107,3.3,74.25
17,62710,62806,3.8,91.2
17,63814,63896,3.1,65.1
17,64276,64426,3.1,65.1
17,65096,65182,3,72
17,65596,65775,3,72
17,66332,66420,3,63
17,67537,67625,3.3,70.95
17,68816,68903,3.1,74.4
17,69375,69481,3.1,74.4
17,69990,70086,3.1,65.1
17,71162,71262,3.4,85
17,71851,72011,3.4,85
17,72541,72634,3.3,80.85
