video_num,start_frame,end_frame,difficulty,final_score
22,10170,10250,2.4,50.4
22,11564,11640,2.7,59.4
22,13002,13086,2.7,52.65
22,13254,13374,2.7,52.65
22,14394,14500,2.7,54
22,14814,14970,2.7,54
22,15824,15908,3,63
22,17486,17560,2.7,64.8
22,17846,18030,2.7,64.8
22,18734,18904,2.8,47.6
22,20342,20432,2.7,52.65
22,20736,20914,2.7,52.65
22,21816,21898,2.7,56.7
22,23440,23516,3,67.5
22,24694,24854,2.8,51.8
22,25228,25384,2.8,51.8
22,26342,26424,2.7,64.8
22,29648,29732,2.7,48.6
22,30848,30992,2.4,51.6
22,31306,31448,2.4,51.6
22,32110,32250,2.4,54
22,33462,33614,3,40.5
22,34038,34238,3,40.5
22,34918,35088,3.1,37.2
22,36460,36590,2.4,57.6
22,37906,38070,3,55.5
22,39544,39630,2.8,54.6
22,41056,41142,2.8,46.2
22,42278,42420,2.8,54.6
22,43842,43938,2.8,54.6
22,45640,45722,2.8,68.6
22,48900,48980,2.8,32.2
22,50390,50474,2.8,36.4
22,51936,52020,2.8,36.4
22,53466,53554,2.8,35
22,54770,54904,3,63
22,56874,56956,2.8,57.4
22,58304,58462,2.8,53.2
22,59990,60116,2.8,63
22,61484,61636,3,45
22,63220,63296,2.8,63
22,64714,64800,2.7,36.45
22,66000,66128,2.8,64.4
22,66514,66704,2.8,64.4
22,69162,69300,2.8,30.8
22,69556,69706,2.8,30.8
22,70750,70886,2.8,43.4
22,71462,71658,2.8,43.4
22,72510,72590,2.4,48
22,72804,72994,2.4,48
22,74016,74178,2.8,53.2
22,74350,74524,2.8,53.2
22,75866,75950,3,30
22,76490,76688,3,30
22,77530,77666,2.8,67.2
22,77880,78052,2.8,67.2
22,79366,79446,2.8,54.6
22,79986,80172,2.8,54.6
22,81190,81320,2.9,53.65
22,81508,81736,2.9,53.65
22,82790,82938,3,40.5
22,83494,83680,3,40.5
22,84560,84640,2.4,48
22,85234,85416,2.4,48
22,86250,86376,3,46.5
22,86558,86726,3,46.5
22,88144,88228,2.4,61.2
22,88424,88598,2.4,61.2
