video_num,start_frame,end_frame,difficulty,final_score
4,8661,8739,3,70.5
4,9207,9335,3,70.5
4,10006,10088,2.8,53.2
4,10586,10757,2.8,53.2
4,11444,11519,3,73.5
4,11986,12091,3,73.5
4,12610,12688,3,76.5
4,13172,13280,3,76.5
4,13889,13963,3,66
4,14419,14553,3,66
4,15703,15784,3.2,67.2
4,16448,16558,3.2,67.2
4,17029,17104,3,72
4,17577,17747,3,72
4,18541,18626,2.8,51.6
4,19070,19294,2.8,51.6
4,20476,20563,3.2,67.2
4,21003,21152,3.2,67.2
4,21573,21649,3,67.5
4,22134,22264,3,67.5
4,23105,23188,3,43.5
4,23651,23840,3,43.5
4,24473,24561,2.7,68.85
4,25035,25160,2.7,68.85
4,26167,26244,2.8,54.6
4,26612,26740,2.8,54.6
4,27720,27793,3,64.5
4,28276,28386,3,64.5
4,29165,29238,3,63
4,29703,29836,3,63
4,30372,30446,3,72
4,30903,31013,3,72
4,31608,31687,3,58.5
4,32199,32369,3,58.5
4,32835,32912,3,72
4,33381,33516,3,72
4,34245,34323,3,72
4,34698,34812,3,72
4,35446,35526,2.8,46.2
4,35992,36113,2.8,46.2
4,36703,36782,3,66
4,37262,37475,3,66
4,38307,38391,3,49.5
4,38872,38993,3,49.5
4,39548,39632,3,63
4,40075,40198,3,63
4,41081,41180,3.1,79.05
4,41720,42038,3.1,79.05
4,42683,42752,2.8,71.4
4,43171,43273,2.8,71.4
4,43697,43773,3,36
4,44198,44286,3,36
4,46936,47022,3.2,73.6
4,47470,47615,3.2,73.6
4,48296,48381,2.9,68.15
4,48885,49056,2.9,68.15
4,49771,49863,3.3,77.55
4,50337,50465,3.3,77.55
4,51111,51195,3.2,78.4
4,51611,51763,3.2,78.4
4,52436,52528,3.2,80
4,52974,53139,3.2,80
4,54222,54321,3.3,29.7
4,54854,54983,3.3,29.7
4,55660,55750,2.9,65.25
4,56248,56475,2.9,65.25
4,57195,57281,3.2,72
4,59236,59402,2.8,58.8
4,59935,60123,2.8,58.8
4,60731,60809,3.2,73.6
4,61287,61447,3.2,73.6
4,62407,62481,3.2,72
