video_num,start_frame,end_frame,difficulty,final_score
13,3528,3664,3,67.5
13,5219,5318,3.2,75.2
13,7009,7177,3,63
13,8764,8907,3,75.5
13,9171,9332,3,75.5
13,10594,10735,3,73.5
13,12309,12427,3,82.5
13,15582,15690,3.2,75.2
13,15926,16068,3.2,75.2
13,17389,17481,3.2,70.4
13,17756,17906,3.2,70.4
13,19387,19486,3.3,69.3
13,21196,21299,2.9,69.6
13,23427,23533,3.2,64
13,25153,25251,3.2,78.4
13,25550,25716,3.2,78.4
13,28891,28991,3.2,72
13,29437,29614,3.2,72
13,30390,30517,3,67.5
13,32341,32428,2.8,65.8
13,34240,34338,3.2,76.8
13,34622,34786,3.2,76.8
13,36041,36157,3.3,57.8
13,36405,36586,3.3,57.8
13,37902,37984,3.2,86.4
13,38279,38428,3.2,86.4
13,41174,41321,3.2,72
13,42970,43063,3.2,72
13,43318,43491,3.2,72
13,45014,45112,3.3,69.3
13,45347,45518,3.3,69.3
13,46981,47075,3.2,68.8
13,47372,47532,3.2,68.8
13,48991,49090,3.3,59.4
13,49400,49543,3.3,59.4
13,50583,50695,3.3,79.2
13,53641,53768,3.3,34.7
13,55098,55218,2.8,72.8
13,55487,55645,2.8,72.8
13,56903,57003,3.2,75.2
13,57243,57414,3.2,75.2
13,58697,58803,3.2,76.8
13,59078,59247,3.2,76.8
13,60515,60623,3.2,76.8
13,60910,61073,3.2,76.8
13,62310,62424,3.2,86.4
13,62745,62904,3.2,86.4
