7377,7462,88,88
7838,7969,88,88
8649,8738,86.4,86.4
9136,9268,86.4,86.4
10036,10124,75.2,75.2
10526,10742,75.2,75.2
11444,11540,72,72
11954,12084,72,72
12860,12969,72,72
13362,13546,72,72
14062,14224,73.5,73.5
14648,14792,73.5,73.5
15355,15528,66,66
15696,15889,66,66
16985,17113,77.4,77.4
17569,17750,77.4,77.4
18193,18346,61.5,61.5
18788,18954,61.5,61.5
19696,19807,81.6,81.6
20193,20317,81.6,81.6
20799,20944,72,72
21331,21439,72,72
22525,22656,67.2,67.2
23025,23137,67.2,67.2
24120,24227,89.1,89.1
24610,24784,89.1,89.1
25360,25512,73.5,73.5
25963,26137,73.5,73.5
26449,26589,76.5,76.5
27063,27330,76.5,76.5
27882,27962,81.6,81.6
28948,29076,72.5,72.5
29524,29655,72.5,72.5
30395,30504,76.8,76.8
30905,31048,76.8,76.8
31736,31843,59.4,59.4
32424,32541,59.4,59.4
33341,33452,81.6,81.6
33862,33963,81.6,81.6
34815,34963,81.4,81.4
35404,35540,81.4,81.4
36413,36493,76.8,76.8
37673,37768,58.5,58.5
38182,38340,58.5,58.5
38916,39029,78.4,78.4
39236,39456,78.4,78.4
40506,40631,81,81
41146,41224,81,81
41926,42029,86.4,86.4
42405,42546,86.4,86.4
43276,43360,81.6,81.6
43716,43870,81.6,81.6
44388,44540,72,72
45977,46087,73.8,73.8
46490,46688,73.8,73.8
47452,47556,51.2,51.2
47956,48060,51.2,51.2
48475,48625,76.5,76.5
50040,50130,66,66
50590,50809,66,66
53431,53528,91.8,91.8
53897,54073,91.8,91.8
54522,54648,74.25,74.25
55201,55351,74.25,74.25
55645,55745,67.5,67.5
55920,56134,67.5,67.5
56885,56993,88.2,88.2
57453,57578,88.2,88.2
58385,58493,39.6,39.6
58943,59058,39.6,39.6
59756,59844,72,72
60254,60370,72,72
61304,61422,79.2,79.2
62025,62145,79.2,79.2
62747,62853,72,72
63219,63337,72,72
64175,64292,86.4,86.4
64705,64825,86.4,86.4
65424,65572,83.25,83.25
66015,66173,83.25,83.25
66843,66952,67.2,67.2
67323,67522,67.2,67.2
68198,68378,86.95,86.95
68830,68956,86.95,86.95
69569,69722,81.7,81.7
